symbol,underlying,asset_class,expiry,strike,type,bid,ask,last,mark,volume,open_interest,contract_size,underlying_ccy,quote_ccy,is_inverse,iv,asof_utc,spot
AAPL250926C00110000,AAPL,equity,2025-09-26 00:00:00+00:00,110.0,C,129.25,130.9,119.42,,1.0,5.0,100.0,USD,USD,False,1.6259784326171873,2025-09-08 03:24:05.921708+00:00,239.69
AAPL250926C00120000,AAPL,equity,2025-09-26 00:00:00+00:00,120.0,C,119.25,120.95,112.56,,1.0,6.0,100.0,USD,USD,False,1.4736354443359376,2025-09-08 03:24:05.921708+00:00,239.69
AAPL250926C00125000,AAPL,equity,2025-09-26 00:00:00+00:00,125.0,C,114.3,116.05,108.08,,3.0,7.0,100.0,USD,USD,False,1.431643466796875,2025-09-08 03:24:05.921708+00:00,239.69
AAPL250926C00130000,AAPL,equity,2025-09-26 00:00:00+00:00,130.0,C,109.4,110.95,109.45,,1.0,4.0,100.0,USD,USD,False,1.3544954150390622,2025-09-08 03:24:05.921708+00:00,239.69
AAPL250926C00135000,AAPL,equity,2025-09-26 00:00:00+00:00,135.0,C,104.45,106.05,90.51,,4.0,4.0,100.0,USD,USD,False,1.3105503222656247,2025-09-08 03:24:05.921708+00:00,239.69
AAPL250926C00140000,AAPL,equity,2025-09-26 00:00:00+00:00,140.0,C,99.5,101.0,99.55,,1.0,14.0,100.0,USD,USD,False,1.2368202221679687,2025-09-08 03:24:05.921708+00:00,239.69
AAPL250926C00145000,AAPL,equity,2025-09-26 00:00:00+00:00,145.0,C,94.4,96.1,80.61,,4.0,5.0,100.0,USD,USD,False,1.1660197949218751,2025-09-08 03:24:05.921708+00:00,239.69
AAPL250926C00150000,AAPL,equity,2025-09-26 00:00:00+00:00,150.0,C,89.45,91.05,75.71,,,7.0,100.0,USD,USD,False,1.0966842041015625,2025-09-08 03:24:05.921708+00:00,239.69
AAPL250926C00155000,AAPL,equity,2025-09-26 00:00:00+00:00,155.0,C,84.55,86.15,73.67,,2.0,2.0,100.0,USD,USD,False,1.0605515722656251,2025-09-08 03:24:05.921708+00:00,239.69
AAPL250926C00160000,AAPL,equity,2025-09-26 00:00:00+00:00,160.0,C,79.45,81.05,80.24,,2.0,4.0,100.0,USD,USD,False,0.9648441015625,2025-09-08 03:24:05.921708+00:00,239.69
AAPL250926C00165000,AAPL,equity,2025-09-26 00:00:00+00:00,165.0,C,74.65,76.15,75.03,,3.0,3.0,100.0,USD,USD,False,0.9418951123046875,2025-09-08 03:24:05.921708+00:00,239.69
AAPL250926C00170000,AAPL,equity,2025-09-26 00:00:00+00:00,170.0,C,69.55,71.1,58.52,,3.0,3.0,100.0,USD,USD,False,0.85937640625,2025-09-08 03:24:05.921708+00:00,239.69
AAPL250926C00175000,AAPL,equity,2025-09-26 00:00:00+00:00,175.0,C,64.55,66.2,54.2,,2.0,9.0,100.0,USD,USD,False,0.8095722167968749,2025-09-08 03:24:05.921708+00:00,239.69
AAPL250926C00180000,AAPL,equity,2025-09-26 00:00:00+00:00,180.0,C,59.55,61.15,49.92,,2.0,15.0,100.0,USD,USD,False,0.743166630859375,2025-09-08 03:24:05.921708+00:00,239.69
AAPL250926C00185000,AAPL,equity,2025-09-26 00:00:00+00:00,185.0,C,54.6,55.7,50.96,,4.0,30.0,100.0,USD,USD,False,0.637698935546875,2025-09-08 03:24:05.921708+00:00,239.69
AAPL250926C00190000,AAPL,equity,2025-09-26 00:00:00+00:00,190.0,C,49.55,51.25,50.51,,2.0,36.0,100.0,USD,USD,False,0.6347692773437501,2025-09-08 03:24:05.921708+00:00,239.69
AAPL250926C00195000,AAPL,equity,2025-09-26 00:00:00+00:00,195.0,C,44.9,46.35,44.9,,5.0,151.0,100.0,USD,USD,False,0.6127968408203126,2025-09-08 03:24:05.921708+00:00,239.69
AAPL250926C00200000,AAPL,equity,2025-09-26 00:00:00+00:00,200.0,C,39.8,40.7,39.81,,6.0,58.0,100.0,USD,USD,False,0.5629926513671876,2025-09-08 03:24:05.921708+00:00,239.69
AAPL250926C00205000,AAPL,equity,2025-09-26 00:00:00+00:00,205.0,C,34.9,36.05,33.1,,1.0,48.0,100.0,USD,USD,False,0.5437057348632813,2025-09-08 03:24:05.921708+00:00,239.69
AAPL250926C00210000,AAPL,equity,2025-09-26 00:00:00+00:00,210.0,C,30.1,30.65,30.8,,7.0,734.0,100.0,USD,USD,False,0.43677321044921874,2025-09-08 03:24:05.921708+00:00,239.69
AAPL250926C00215000,AAPL,equity,2025-09-26 00:00:00+00:00,215.0,C,25.25,26.4,25.33,,3.0,733.0,100.0,USD,USD,False,0.4480035668945312,2025-09-08 03:24:05.921708+00:00,239.69
AAPL250926C00220000,AAPL,equity,2025-09-26 00:00:00+00:00,220.0,C,20.6,21.15,20.55,,351.0,1211.0,100.0,USD,USD,False,0.36121244262695307,2025-09-08 03:24:05.921708+00:00,239.69
AAPL250926C00225000,AAPL,equity,2025-09-26 00:00:00+00:00,225.0,C,16.0,16.5,16.43,,456.0,1242.0,100.0,USD,USD,False,0.31995308959960933,2025-09-08 03:24:05.921708+00:00,239.69
AAPL250926C00230000,AAPL,equity,2025-09-26 00:00:00+00:00,230.0,C,11.8,12.1,12.08,,470.0,8551.0,100.0,USD,USD,False,0.2836985693359374,2025-09-08 03:24:05.921708+00:00,239.69
