symbol,underlying,asset_class,expiry,strike,type,bid,ask,last,mark,volume,open_interest,contract_size,underlying_ccy,quote_ccy,is_inverse,iv,asof_utc,spot
BTC-USD-250926-20000-C,BTC,crypto,2025-09-26 00:00:00+00:00,20000.0,C,0.8195,0.82,0.737,,0.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-20000-P,BTC,crypto,2025-09-26 00:00:00+00:00,20000.0,P,,0.0001,0.0007,,0.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-25000-C,BTC,crypto,2025-09-26 00:00:00+00:00,25000.0,C,0.7745,0.775,0.7065,,0.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-25000-P,BTC,crypto,2025-09-26 00:00:00+00:00,25000.0,P,,0.0001,0.0004,,0.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-30000-C,BTC,crypto,2025-09-26 00:00:00+00:00,30000.0,C,0.729,0.73,0.734,,0.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-30000-P,BTC,crypto,2025-09-26 00:00:00+00:00,30000.0,P,,0.0002,0.0001,,0.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-35000-C,BTC,crypto,2025-09-26 00:00:00+00:00,35000.0,C,0.684,0.685,0.6615,,0.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-35000-P,BTC,crypto,2025-09-26 00:00:00+00:00,35000.0,P,,0.0002,0.0001,,0.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-40000-C,BTC,crypto,2025-09-26 00:00:00+00:00,40000.0,C,0.639,0.64,0.622,,0.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-40000-P,BTC,crypto,2025-09-26 00:00:00+00:00,40000.0,P,,0.0002,0.0002,,0.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-45000-C,BTC,crypto,2025-09-26 00:00:00+00:00,45000.0,C,0.594,0.595,0.6275,,0.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-45000-P,BTC,crypto,2025-09-26 00:00:00+00:00,45000.0,P,,0.0002,0.0001,,0.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-50000-C,BTC,crypto,2025-09-26 00:00:00+00:00,50000.0,C,0.549,0.55,0.5675,,0.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-50000-P,BTC,crypto,2025-09-26 00:00:00+00:00,50000.0,P,,0.0002,0.0001,,3.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-55000-C,BTC,crypto,2025-09-26 00:00:00+00:00,55000.0,C,0.504,0.505,0.492,,0.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
BTC-USD-250926-55000-P,BTC,crypto,2025-09-26 00:00:00+00:00,55000.0,P,,0.0002,0.0001,,0.0,,1.0,USD,USDT,False,,2025-09-08 02:27:08.849328+00:00,110727.4
