symbol,underlying,asset_class,expiry,strike,type,bid,ask,last,mark,volume,open_interest,contract_size,underlying_ccy,quote_ccy,is_inverse,iv,asof_utc,spot
ETH-USD-250912-3300-C,ETH,crypto,2025-09-12 00:00:00+00:00,3300.0,C,0.242,0.2445,0.233,,0.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-3300-P,ETH,crypto,2025-09-12 00:00:00+00:00,3300.0,P,,0.0001,0.0001,,80.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-3400-C,ETH,crypto,2025-09-12 00:00:00+00:00,3400.0,C,0.219,0.2215,0.2375,,0.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-3400-P,ETH,crypto,2025-09-12 00:00:00+00:00,3400.0,P,,0.0002,0.0002,,1962.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-3500-C,ETH,crypto,2025-09-12 00:00:00+00:00,3500.0,C,0.197,0.1985,0.186,,0.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-3500-P,ETH,crypto,2025-09-12 00:00:00+00:00,3500.0,P,,0.0002,0.0001,,2836.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-3600-C,ETH,crypto,2025-09-12 00:00:00+00:00,3600.0,C,0.1735,0.176,,,0.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-3600-P,ETH,crypto,2025-09-12 00:00:00+00:00,3600.0,P,0.0001,0.0003,0.0002,,1932.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-3700-C,ETH,crypto,2025-09-12 00:00:00+00:00,3700.0,C,0.1505,0.153,0.14,,0.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-3700-P,ETH,crypto,2025-09-12 00:00:00+00:00,3700.0,P,0.0003,0.0004,0.0006,,588.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-3800-C,ETH,crypto,2025-09-12 00:00:00+00:00,3800.0,C,0.128,0.1305,0.123,,30.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-3800-P,ETH,crypto,2025-09-12 00:00:00+00:00,3800.0,P,0.0007,0.0008,0.0006,,558.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-3900-C,ETH,crypto,2025-09-12 00:00:00+00:00,3900.0,C,0.1065,0.1085,0.1065,,30.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-3900-P,ETH,crypto,2025-09-12 00:00:00+00:00,3900.0,P,0.0015,0.0016,0.0013,,7636.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4000-C,ETH,crypto,2025-09-12 00:00:00+00:00,4000.0,C,0.085,0.087,0.088,,56.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4000-P,ETH,crypto,2025-09-12 00:00:00+00:00,4000.0,P,0.0031,0.0032,0.0029,,20779.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4100-C,ETH,crypto,2025-09-12 00:00:00+00:00,4100.0,C,0.065,0.067,0.0645,,40.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4100-P,ETH,crypto,2025-09-12 00:00:00+00:00,4100.0,P,0.0055,0.006,0.0055,,8509.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4150-C,ETH,crypto,2025-09-12 00:00:00+00:00,4150.0,C,0.0555,0.058,0.0585,,146.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4150-P,ETH,crypto,2025-09-12 00:00:00+00:00,4150.0,P,0.0075,0.008,0.0075,,3864.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4200-C,ETH,crypto,2025-09-12 00:00:00+00:00,4200.0,C,0.047,0.048,0.0485,,30.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4200-P,ETH,crypto,2025-09-12 00:00:00+00:00,4200.0,P,0.0105,0.011,0.0105,,11149.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4250-C,ETH,crypto,2025-09-12 00:00:00+00:00,4250.0,C,0.039,0.04,0.0425,,531.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4250-P,ETH,crypto,2025-09-12 00:00:00+00:00,4250.0,P,0.014,0.0145,0.014,,3084.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4300-C,ETH,crypto,2025-09-12 00:00:00+00:00,4300.0,C,0.032,0.0325,0.035,,3003.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4300-P,ETH,crypto,2025-09-12 00:00:00+00:00,4300.0,P,0.018,0.0185,0.017,,989.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4350-C,ETH,crypto,2025-09-12 00:00:00+00:00,4350.0,C,0.0255,0.026,0.028,,2684.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4350-P,ETH,crypto,2025-09-12 00:00:00+00:00,4350.0,P,0.023,0.024,0.022,,902.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4400-C,ETH,crypto,2025-09-12 00:00:00+00:00,4400.0,C,0.02,0.0205,0.021,,3132.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4400-P,ETH,crypto,2025-09-12 00:00:00+00:00,4400.0,P,0.029,0.0295,0.0315,,535.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4450-C,ETH,crypto,2025-09-12 00:00:00+00:00,4450.0,C,0.015,0.016,0.016,,5396.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4450-P,ETH,crypto,2025-09-12 00:00:00+00:00,4450.0,P,0.0355,0.0365,0.0375,,180.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4500-C,ETH,crypto,2025-09-12 00:00:00+00:00,4500.0,C,0.0115,0.012,0.012,,3575.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4500-P,ETH,crypto,2025-09-12 00:00:00+00:00,4500.0,P,0.043,0.044,0.045,,50.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4550-C,ETH,crypto,2025-09-12 00:00:00+00:00,4550.0,C,0.0085,0.009,0.0085,,1414.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4550-P,ETH,crypto,2025-09-12 00:00:00+00:00,4550.0,P,0.0505,0.053,0.05,,100.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4600-C,ETH,crypto,2025-09-12 00:00:00+00:00,4600.0,C,0.006,0.0065,0.0065,,6001.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4600-P,ETH,crypto,2025-09-12 00:00:00+00:00,4600.0,P,0.06,0.0615,0.062,,30.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
ETH-USD-250912-4700-C,ETH,crypto,2025-09-12 00:00:00+00:00,4700.0,C,0.003,0.0031,0.0032,,3186.0,,1.0,USD,USDT,False,,2025-09-08 16:14:53.475601+00:00,4359.33
