symbol,underlying,asset_class,expiry,strike,type,bid,ask,last,mark,volume,open_interest,contract_size,underlying_ccy,quote_ccy,is_inverse,iv,asof_utc,spot
NVDA250912C00050000,NVDA,equity,2025-09-12 00:00:00+00:00,50.0,C,0.0,0.0,116.45,,7.0,0.0,100.0,USD,USD,False,1.0000000000000003e-05,2025-09-08 06:52:32.072577+00:00,167.02
NVDA250912C00055000,NVDA,equity,2025-09-12 00:00:00+00:00,55.0,C,0.0,0.0,112.84,,5.0,0.0,100.0,USD,USD,False,1.0000000000000003e-05,2025-09-08 06:52:32.072577+00:00,167.02
NVDA250912C00060000,NVDA,equity,2025-09-12 00:00:00+00:00,60.0,C,0.0,0.0,110.84,,1.0,0.0,100.0,USD,USD,False,1.0000000000000003e-05,2025-09-08 06:52:32.072577+00:00,167.02
NVDA250912C00065000,NVDA,equity,2025-09-12 00:00:00+00:00,65.0,C,0.0,0.0,105.81,,6.0,0.0,100.0,USD,USD,False,1.0000000000000003e-05,2025-09-08 06:52:32.072577+00:00,167.02
NVDA250912C00070000,NVDA,equity,2025-09-12 00:00:00+00:00,70.0,C,0.0,0.0,96.87,,25.0,0.0,100.0,USD,USD,False,1.0000000000000003e-05,2025-09-08 06:52:32.072577+00:00,167.02
NVDA250912C00075000,NVDA,equity,2025-09-12 00:00:00+00:00,75.0,C,0.0,0.0,97.0,,11.0,0.0,100.0,USD,USD,False,1.0000000000000003e-05,2025-09-08 06:52:32.072577+00:00,167.02
NVDA250912C00080000,NVDA,equity,2025-09-12 00:00:00+00:00,80.0,C,0.0,0.0,86.14,,1.0,0.0,100.0,USD,USD,False,1.0000000000000003e-05,2025-09-08 06:52:32.072577+00:00,167.02
NVDA250912C00085000,NVDA,equity,2025-09-12 00:00:00+00:00,85.0,C,0.0,0.0,81.3,,2.0,0.0,100.0,USD,USD,False,1.0000000000000003e-05,2025-09-08 06:52:32.072577+00:00,167.02
NVDA250912C00090000,NVDA,equity,2025-09-12 00:00:00+00:00,90.0,C,0.0,0.0,76.8,,10.0,0.0,100.0,USD,USD,False,1.0000000000000003e-05,2025-09-08 06:52:32.072577+00:00,167.02
NVDA250912C00095000,NVDA,equity,2025-09-12 00:00:00+00:00,95.0,C,0.0,0.0,71.8,,10.0,0.0,100.0,USD,USD,False,1.0000000000000003e-05,2025-09-08 06:52:32.072577+00:00,167.02
NVDA250912C00100000,NVDA,equity,2025-09-12 00:00:00+00:00,100.0,C,0.0,0.0,66.82,,26.0,0.0,100.0,USD,USD,False,1.0000000000000003e-05,2025-09-08 06:52:32.072577+00:00,167.02
