symbol,underlying,asset_class,expiry,strike,type,bid,ask,last,mark,volume,open_interest,contract_size,underlying_ccy,quote_ccy,is_inverse,iv,asof_utc,spot
SPY250926C00385000,SPY,equity,2025-09-26 00:00:00+00:00,385.0,C,260.64,264.16,259.77,,,0.0,100.0,USD,USD,False,0.883790224609375,2025-09-08 03:21:30.182384+00:00,647.24
SPY250926C00400000,SPY,equity,2025-09-26 00:00:00+00:00,400.0,C,245.67,249.18,245.0,,,0.0,100.0,USD,USD,False,0.8369156933593749,2025-09-08 03:21:30.182384+00:00,647.24
SPY250926C00425000,SPY,equity,2025-09-26 00:00:00+00:00,425.0,C,220.71,224.22,219.92,,,1.0,100.0,USD,USD,False,0.7578149218750001,2025-09-08 03:21:30.182384+00:00,647.24
SPY250926C00445000,SPY,equity,2025-09-26 00:00:00+00:00,445.0,C,200.74,204.06,195.38,,,0.0,100.0,USD,USD,False,0.6552768847656252,2025-09-08 03:21:30.182384+00:00,647.24
SPY250926C00455000,SPY,equity,2025-09-26 00:00:00+00:00,455.0,C,190.76,194.27,184.12,,,1.0,100.0,USD,USD,False,0.6621127539062501,2025-09-08 03:21:30.182384+00:00,647.24
SPY250926C00465000,SPY,equity,2025-09-26 00:00:00+00:00,465.0,C,180.78,184.29,170.81,,,1.0,100.0,USD,USD,False,0.6313513427734375,2025-09-08 03:21:30.182384+00:00,647.24
SPY250926C00470000,SPY,equity,2025-09-26 00:00:00+00:00,470.0,C,175.79,179.3,175.11,,,1.0,100.0,USD,USD,False,0.6157264990234376,2025-09-08 03:21:30.182384+00:00,647.24
SPY250926C00475000,SPY,equity,2025-09-26 00:00:00+00:00,475.0,C,170.8,174.31,172.21,,,3.0,100.0,USD,USD,False,0.6001016552734376,2025-09-08 03:21:30.182384+00:00,647.24
SPY250926C00480000,SPY,equity,2025-09-26 00:00:00+00:00,480.0,C,165.81,169.13,161.19,,,1.0,100.0,USD,USD,False,0.5585981640625001,2025-09-08 03:21:30.182384+00:00,647.24
SPY250926C00485000,SPY,equity,2025-09-26 00:00:00+00:00,485.0,C,160.82,164.29,160.73,,,2.0,100.0,USD,USD,False,0.5644574804687501,2025-09-08 03:21:30.182384+00:00,647.24
