symbol,underlying,asset_class,expiry,strike,type,bid,ask,last,mark,volume,open_interest,contract_size,underlying_ccy,quote_ccy,is_inverse,iv,asof_utc,spot
BTC-USD-250906-100000-C,BTC,crypto,2025-09-06 00:00:00+00:00,100000.0,C,0.096,0.0975,0.0975,,890.0,,1.0,USD,USDT,False,,2025-09-06 06:06:56.261222+00:00,110723.1
BTC-USD-250906-100000-P,BTC,crypto,2025-09-06 00:00:00+00:00,100000.0,P,,0.0002,0.0002,,0.0,,1.0,USD,USDT,False,,2025-09-06 06:06:56.261222+00:00,110723.1
BTC-USD-250906-102000-C,BTC,crypto,2025-09-06 00:00:00+00:00,102000.0,C,0.078,0.0795,0.0925,,460.0,,1.0,USD,USDT,False,,2025-09-06 06:06:56.261222+00:00,110723.1
BTC-USD-250906-102000-P,BTC,crypto,2025-09-06 00:00:00+00:00,102000.0,P,,0.0002,0.0001,,238.0,,1.0,USD,USDT,False,,2025-09-06 06:06:56.261222+00:00,110723.1
BTC-USD-250906-104000-C,BTC,crypto,2025-09-06 00:00:00+00:00,104000.0,C,0.06,0.0615,,,0.0,,1.0,USD,USDT,False,,2025-09-06 06:06:56.261222+00:00,110723.1
BTC-USD-250906-104000-P,BTC,crypto,2025-09-06 00:00:00+00:00,104000.0,P,,0.0002,0.0001,,1109.0,,1.0,USD,USDT,False,,2025-09-06 06:06:56.261222+00:00,110723.1
BTC-USD-250906-105000-C,BTC,crypto,2025-09-06 00:00:00+00:00,105000.0,C,0.051,0.0525,,,0.0,,1.0,USD,USDT,False,,2025-09-06 06:06:56.261222+00:00,110723.1
BTC-USD-250906-105000-P,BTC,crypto,2025-09-06 00:00:00+00:00,105000.0,P,,0.0001,0.0001,,5172.0,,1.0,USD,USDT,False,,2025-09-06 06:06:56.261222+00:00,110723.1
BTC-USD-250906-106000-C,BTC,crypto,2025-09-06 00:00:00+00:00,106000.0,C,0.042,0.0435,,,0.0,,1.0,USD,USDT,False,,2025-09-06 06:06:56.261222+00:00,110723.1
BTC-USD-250906-106000-P,BTC,crypto,2025-09-06 00:00:00+00:00,106000.0,P,,0.0002,0.0002,,6422.0,,1.0,USD,USDT,False,,2025-09-06 06:06:56.261222+00:00,110723.1
BTC-USD-250906-107000-C,BTC,crypto,2025-09-06 00:00:00+00:00,107000.0,C,0.033,0.0345,0.0345,,280.0,,1.0,USD,USDT,False,,2025-09-06 06:06:56.261222+00:00,110723.1
BTC-USD-250906-107000-P,BTC,crypto,2025-09-06 00:00:00+00:00,107000.0,P,,0.0001,0.0001,,5965.0,,1.0,USD,USDT,False,,2025-09-06 06:06:56.261222+00:00,110723.1
BTC-USD-250906-108000-C,BTC,crypto,2025-09-06 00:00:00+00:00,108000.0,C,0.024,0.025,0.0195,,0.0,,1.0,USD,USDT,False,,2025-09-06 06:06:56.261222+00:00,110723.1
BTC-USD-250906-108000-P,BTC,crypto,2025-09-06 00:00:00+00:00,108000.0,P,,0.0002,0.0001,,9488.0,,1.0,USD,USDT,False,,2025-09-06 06:06:56.261222+00:00,110723.1
BTC-USD-250906-108500-C,BTC,crypto,2025-09-06 00:00:00+00:00,108500.0,C,0.0195,0.021,,,0.0,,1.0,USD,USDT,False,,2025-09-06 06:06:56.261222+00:00,110723.1
BTC-USD-250906-108500-P,BTC,crypto,2025-09-06 00:00:00+00:00,108500.0,P,,0.0002,0.0002,,8459.0,,1.0,USD,USDT,False,,2025-09-06 06:06:56.261222+00:00,110723.1
BTC-USD-250906-109000-C,BTC,crypto,2025-09-06 00:00:00+00:00,109000.0,C,0.015,0.0165,0.0155,,0.0,,1.0,USD,USDT,False,,2025-09-06 06:06:56.261222+00:00,110723.1
BTC-USD-250906-109000-P,BTC,crypto,2025-09-06 00:00:00+00:00,109000.0,P,,0.0001,0.0001,,19287.0,,1.0,USD,USDT,False,,2025-09-06 06:06:56.261222+00:00,110723.1
