symbol,underlying,asset_class,expiry,strike,type,bid,ask,last,mark,volume,open_interest,contract_size,underlying_ccy,quote_ccy,is_inverse,iv,asof_utc,spot
SPY250908C00500000,SPY,equity,2025-09-08 00:00:00+00:00,500.0,C,145.54,148.35,146.1,,48.0,0.0,100.0,USD,USD,False,1.9208988330078127,2025-09-07 23:10:36.005116+00:00,647.24
SPY250908C00550000,SPY,equity,2025-09-08 00:00:00+00:00,550.0,C,95.55,98.36,96.27,,20.0,0.0,100.0,USD,USD,False,1.3115268798828121,2025-09-07 23:10:36.005116+00:00,647.24
SPY250908C00565000,SPY,equity,2025-09-08 00:00:00+00:00,565.0,C,80.55,83.36,87.26,,5.0,1.0,100.0,USD,USD,False,1.1323285571289063,2025-09-07 23:10:36.005116+00:00,647.24
SPY250908C00570000,SPY,equity,2025-09-08 00:00:00+00:00,570.0,C,75.56,78.36,81.92,,1.0,2.0,100.0,USD,USD,False,1.0727585424804689,2025-09-07 23:10:36.005116+00:00,647.24
SPY250908C00580000,SPY,equity,2025-09-08 00:00:00+00:00,580.0,C,65.56,68.37,66.42,,428.0,1.0,100.0,USD,USD,False,0.9555668505859375,2025-09-07 23:10:36.005116+00:00,647.24
SPY250908C00585000,SPY,equity,2025-09-08 00:00:00+00:00,585.0,C,60.56,63.37,61.83,,115.0,2.0,100.0,USD,USD,False,0.8959971337890623,2025-09-07 23:10:36.005116+00:00,647.24
SPY250908C00590000,SPY,equity,2025-09-08 00:00:00+00:00,590.0,C,55.56,58.37,55.53,,100.0,0.0,100.0,USD,USD,False,0.8359391406249999,2025-09-07 23:10:36.005116+00:00,647.24
SPY250908C00595000,SPY,equity,2025-09-08 00:00:00+00:00,595.0,C,50.57,53.37,50.65,,1.0,0.0,100.0,USD,USD,False,0.7758811474609376,2025-09-07 23:10:36.005116+00:00,647.24
SPY250908C00600000,SPY,equity,2025-09-08 00:00:00+00:00,600.0,C,45.57,48.38,46.98,,4.0,12.0,100.0,USD,USD,False,0.7170438452148438,2025-09-07 23:10:36.005116+00:00,647.24
SPY250908C00602000,SPY,equity,2025-09-08 00:00:00+00:00,602.0,C,43.57,46.38,42.56,,4.0,0.0,100.0,USD,USD,False,0.6926300268554688,2025-09-07 23:10:36.005116+00:00,647.24
SPY250908C00603000,SPY,equity,2025-09-08 00:00:00+00:00,603.0,C,42.57,45.38,45.23,,,12.0,100.0,USD,USD,False,0.6804231176757813,2025-09-07 23:10:36.005116+00:00,647.24
SPY250908C00604000,SPY,equity,2025-09-08 00:00:00+00:00,604.0,C,41.57,44.38,43.53,,,6.0,100.0,USD,USD,False,0.6682162084960939,2025-09-07 23:10:36.005116+00:00,647.24
SPY250908C00605000,SPY,equity,2025-09-08 00:00:00+00:00,605.0,C,40.57,43.38,41.64,,7.0,22.0,100.0,USD,USD,False,0.6560092993164064,2025-09-07 23:10:36.005116+00:00,647.24
